cavity,days_since_contacting,drift_rate_uHz_s,n_pixels
Si2,260.0,-79.408,28
Si2,275.1,-74.111,37
Si2,288.3,-74.111,39
Si2,302.2,-74.111,39
Si2,316.7,-74.111,25
Si2,335.1,-74.111,34
Si2,346.8,-30.909,30
Si2,369.3,-52.510,36
Si2,386.4,-63.286,40
Si2,406.9,-20.205,21
Si2,423.8,-486.973,247
Si2,450.5,-79.408,44
Si2,475.2,-79.408,40
Si2,495.7,-106.692,34
Si2,521.2,-258.944,153
Si2,551.4,-295.959,193
Si2,570.8,-229.328,109
Si2,613.4,-265.312,75
Si2,637.9,-243.687,288
Si2,665.5,-221.122,245
Si2,701.9,-215.815,145
Si2,735.6,-215.815,158
Si2,773.5,-192.299,136
Si2,818.3,-188.824,124
Si2,857.7,-188.824,281
Si2,890.6,-173.433,207
Si2,945.2,-167.227,108
Si2,1000.0,-163.214,239
Si2,1041.6,-157.374,115
Si2,1098.5,-128.014,161
Si2,1151.4,-139.374,45
Si2,1218.2,-95.644,41
Si2,1272.8,-120.471,138
Si2,1346.6,-117.580,143
Si2,1415.9,-117.580,261
Si2,1470.1,-80.688,1223
Si2,1545.7,-105.404,473
Si2,1625.1,-106.692,206
Si2,1714.0,-95.644,185
Si2,1774.1,-88.922,65
Si2,1888.8,-74.111,43
Si2,1973.5,-57.697,32
Si2,2074.9,-84.878,30
Si2,2195.3,-74.111,144
Si2,2293.7,-68.902,113
Si2,2407.9,-68.071,172
Si2,2543.6,-35.759,712
Si2,2665.9,-60.285,116
Si2,2811.8,-58.838,128
Si2,2947.1,-56.733,104
Si2,3079.2,-58.838,272
Si2,3268.0,-54.703,161
Si2,3425.3,-60.285,282
Si2,3601.3,-54.703,469
Si2,3798.3,-52.109,401
Si3,269.1,-883.037,205
Si3,283.8,-811.062,127
Si3,298.0,-744.954,184
Si3,312.8,-628.463,129
Si3,327.8,-628.463,117
Si3,344.7,-563.385,108
Si3,361.3,-511.217,108
Si3,382.2,-458.279,165
Si3,396.9,-447.281,176
Si3,416.0,-436.546,183
Si3,437.3,-372.783,115
Si3,462.7,-346.582,115
Si3,483.5,-326.160,117
Si3,506.7,-310.693,137
Si3,531.1,-268.554,110
Si3,560.1,-265.312,105
Si3,588.9,-292.386,221
Si3,605.8,-243.687,58
Si3,1415.9,-35.327,565
Si3,1442.7,-35.759,203
Si3,2094.5,-34.479,198
Si3,2147.7,-25.143,219
Si3,2251.0,-27.043,93
Si3,2374.2,-27.708,206
Si3,2527.7,-25.761,173
Si3,2600.0,-26.394,327
Si3,2785.5,-22.815,693
Si3,2892.2,-20.452,647
Si3,3021.8,-19.961,486
Si3,3197.1,-15.467,931
Si3,3361.5,-18.113,324
Si3,3490.3,-15.848,884
Si3,3658.2,-14.824,732
Si5,706.3,-481.094,122
Si5,724.2,-613.380,156
Si5,744.9,-636.143,193
Si5,768.6,-591.432,299
Si5,780.8,-415.844,229
Si5,804.3,-517.464,180
Si5,833.9,-458.279,251
Si5,852.3,-338.264,135
Si5,868.5,-386.617,161
Si5,896.2,-326.160,232
Si5,921.8,-363.836,143
Si5,945.2,-281.924,291
Si5,972.2,-310.693,385
Si5,993.8,-249.679,171
Si5,1028.6,-249.679,59
Si5,1056.4,-223.824,88
Si5,1088.3,-188.824,141
Si5,1112.4,-153.597,130
Si5,1144.2,-110.652,277
Si5,1176.9,-119.017,173
Si5,1210.6,-106.692,418
Si5,1237.4,-82.672,234
Si5,1276.8,-87.848,248
Si5,1305.1,-69.323,460
Si5,1329.9,-87.848,97
Si5,2147.7,-47.861,14
Si5,2195.3,-42.387,425
Si5,2230.0,-36.196,394
Si5,2300.9,-28.737,612
Si5,2359.3,-19.720,276
Si5,2419.2,-20.329,218
Si5,2496.2,-18.558,82
Si5,2567.6,-18.113,95
Si5,2641.0,-18.334,443
Si5,2674.3,-12.891,63
Si5,2794.2,-9.515,100
Si5,2856.2,-10.359,288
Si5,2919.5,-7.284,581
Si5,2993.6,-9.515,81
Si6,164.6,1034.417,21
Si6,168.2,1010.878,49
Si6,172.5,954.347,50
Si6,176.9,895.822,58
Si6,181.1,807.672,80
Si6,185.4,707.530,77
Si6,190.7,616.259,82
Si6,195.5,536.761,86
Si6,200.5,467.519,85
Si6,204.9,411.923,78
Si6,210.1,358.784,81
Si6,216.1,312.501,81
Si6,221.3,272.188,86
Si6,226.5,239.820,82
Si6,233.0,208.883,81
Si6,238.9,181.937,81
Si6,244.6,156.654,92
Si6,251.2,133.341,93
Si6,256.8,113.497,94
Si6,263.3,95.501,92
Si6,270.8,81.288,95
Si6,276.8,69.191,91
Si6,283.8,58.894,93
Si6,291.9,49.555,89
Si6,299.4,41.698,100
Si6,307.0,35.086,93
Si6,314.7,29.185,104
Si6,321.7,24.842,91
Si6,329.9,20.664,99
Si6,339.3,18.417,117
Si6,346.8,24.276,255
Si6,354.5,33.895,187
Si6,363.5,28.521,108
Si6,373.9,27.872,139
Si6,383.4,40.283,243
Si6,390.7,54.335,117
Si6,403.1,51.296,71
Si6,412.1,45.720,70
Si6,423.2,41.221,72
Si6,434.6,36.739,70
Si6,444.9,32.745,76
Si6,456.9,28.521,88
Si6,467.8,24.276,94
Si6,480.4,20.664,88
Si6,491.1,18.630,51
Si6,503.5,17.998,46
Si6,517.1,17.588,48
Si6,529.4,17.188,48
Si6,544.6,16.605,53
Si6,558.4,15.319,59
Si6,572.6,13.972,65
Si6,587.1,12.743,60
Si6,600.1,11.757,61
Si6,617.3,10.722,55
Si6,629.0,10.007,42
